signal,ann_return,sharpe,sortino,max_dd,rotations,dsr
OU z-score (baseline),0.39129214542430524,0.8870383390309154,1.297327802400302,-0.5904850458919146,25,0.8672825977962391
Logistic regression,0.1696672371343666,0.36797871779403557,0.5181324105860834,-0.7430345982969706,49,0.5229048866959386
Gradient boosted trees,-0.907808703897653,-1.4221576005162502,-1.6362267463317457,-0.9999999627977803,501,1.2314410981402239e-28
