,spread,z,beta,mu,sigma_eq,half_life,fit_end_date
2017-04-27 00:00:00+00:00,-0.016576860656270398,-0.3350782409099115,0.8511978610296396,-0.0003265292630018399,0.04849712517631841,3.9253179386970665,2017-04-26 00:00:00+00:00
2017-04-28 00:00:00+00:00,-0.008398009908547444,-0.16643214656952451,0.8511978610296396,-0.0003265292630018399,0.04849712517631841,3.9253179386970665,2017-04-26 00:00:00+00:00
2017-04-29 00:00:00+00:00,-0.004712153055138835,-0.09043059307520633,0.8511978610296396,-0.0003265292630018399,0.04849712517631841,3.9253179386970665,2017-04-26 00:00:00+00:00
2017-04-30 00:00:00+00:00,0.0013581650368177378,0.0347380240312106,0.8511978610296396,-0.0003265292630018399,0.04849712517631841,3.9253179386970665,2017-04-26 00:00:00+00:00
2017-05-01 00:00:00+00:00,-0.01878598480463456,-0.3806298924837433,0.8511978610296396,-0.0003265292630018399,0.04849712517631841,3.9253179386970665,2017-04-26 00:00:00+00:00
2017-05-02 00:00:00+00:00,-0.059316287089990816,-1.2163557656773067,0.8511978610296396,-0.0003265292630018399,0.04849712517631841,3.9253179386970665,2017-04-26 00:00:00+00:00
2017-05-03 00:00:00+00:00,-0.06873518520346877,-1.410571362565456,0.8511978610296396,-0.0003265292630018399,0.04849712517631841,3.9253179386970665,2017-04-26 00:00:00+00:00
2017-05-04 00:00:00+00:00,-0.014182171943270205,-0.2857002890355695,0.8511978610296396,-0.0003265292630018399,0.04849712517631841,3.9253179386970665,2017-04-26 00:00:00+00:00
2017-05-05 00:00:00+00:00,0.05033963153359888,1.0447250349870527,0.8511978610296396,-0.0003265292630018399,0.04849712517631841,3.9253179386970665,2017-04-26 00:00:00+00:00
2017-05-06 00:00:00+00:00,0.016906491101425836,0.3553410702546698,0.8511978610296396,-0.0003265292630018399,0.04849712517631841,3.9253179386970665,2017-04-26 00:00:00+00:00
2017-05-07 00:00:00+00:00,-0.02049271747177439,-0.4158223427771319,0.8511978610296396,-0.0003265292630018399,0.04849712517631841,3.9253179386970665,2017-04-26 00:00:00+00:00
2017-05-08 00:00:00+00:00,-0.024491541602131406,-0.4982772123352491,0.8511978610296396,-0.0003265292630018399,0.04849712517631841,3.9253179386970665,2017-04-26 00:00:00+00:00
2017-05-09 00:00:00+00:00,0.005540648996836595,0.12097991867574515,0.8511978610296396,-0.0003265292630018399,0.04849712517631841,3.9253179386970665,2017-04-26 00:00:00+00:00
2017-05-10 00:00:00+00:00,0.04536642903958388,0.9421786989736457,0.8511978610296396,-0.0003265292630018399,0.04849712517631841,3.9253179386970665,2017-04-26 00:00:00+00:00
2017-05-11 00:00:00+00:00,0.027977366997022912,0.583620083811603,0.8511978610296396,-0.0003265292630018399,0.04849712517631841,3.9253179386970665,2017-04-26 00:00:00+00:00
2017-05-12 00:00:00+00:00,0.00836421080015004,0.179201138862467,0.8511978610296396,-0.0003265292630018399,0.04849712517631841,3.9253179386970665,2017-04-26 00:00:00+00:00
2017-05-13 00:00:00+00:00,0.003998376779641433,0.08917860650336369,0.8511978610296396,-0.0003265292630018399,0.04849712517631841,3.9253179386970665,2017-04-26 00:00:00+00:00
2017-05-14 00:00:00+00:00,-0.035418352268099085,-0.7235856327053567,0.8511978610296396,-0.0003265292630018399,0.04849712517631841,3.9253179386970665,2017-04-26 00:00:00+00:00
2017-05-15 00:00:00+00:00,-0.025055565232552368,-0.5099072549072649,0.8511978610296396,-0.0003265292630018399,0.04849712517631841,3.9253179386970665,2017-04-26 00:00:00+00:00
2017-05-16 00:00:00+00:00,-0.0359171877974056,-0.7338715110433598,0.8511978610296396,-0.0003265292630018399,0.04849712517631841,3.9253179386970665,2017-04-26 00:00:00+00:00
2017-05-17 00:00:00+00:00,-0.01355271638328226,-0.2727210545407522,0.8511978610296396,-0.0003265292630018399,0.04849712517631841,3.9253179386970665,2017-04-26 00:00:00+00:00
2017-05-18 00:00:00+00:00,0.051350185028130824,1.0655624246438193,0.8511978610296396,-0.0003265292630018399,0.04849712517631841,3.9253179386970665,2017-04-26 00:00:00+00:00
2017-05-19 00:00:00+00:00,0.046362643517091406,0.9627204212692589,0.8511978610296396,-0.0003265292630018399,0.04849712517631841,3.9253179386970665,2017-04-26 00:00:00+00:00
2017-05-20 00:00:00+00:00,0.006123094217475256,0.13298981036563595,0.8511978610296396,-0.0003265292630018399,0.04849712517631841,3.9253179386970665,2017-04-26 00:00:00+00:00
2017-05-21 00:00:00+00:00,-0.03176702615024585,-0.6482960953445687,0.8511978610296396,-0.0003265292630018399,0.04849712517631841,3.9253179386970665,2017-04-26 00:00:00+00:00
2017-05-22 00:00:00+00:00,-0.07343972255081344,-1.5075778826476387,0.8511978610296396,-0.0003265292630018399,0.04849712517631841,3.9253179386970665,2017-04-26 00:00:00+00:00
2017-05-23 00:00:00+00:00,-0.07255789921755618,-1.4893948804583075,0.8511978610296396,-0.0003265292630018399,0.04849712517631841,3.9253179386970665,2017-04-26 00:00:00+00:00
2017-05-24 00:00:00+00:00,-0.044492011724638125,-0.9106824848084539,0.8511978610296396,-0.0003265292630018399,0.04849712517631841,3.9253179386970665,2017-04-26 00:00:00+00:00
2017-05-25 00:00:00+00:00,-0.03330848560041755,-0.6800806484406027,0.8511978610296396,-0.0003265292630018399,0.04849712517631841,3.9253179386970665,2017-04-26 00:00:00+00:00
2017-05-26 00:00:00+00:00,-0.015512760200995679,-0.3131367247601186,0.8511978610296396,-0.0003265292630018399,0.04849712517631841,3.9253179386970665,2017-04-26 00:00:00+00:00
2017-05-27 00:00:00+00:00,0.01404540963249179,0.2977823269546867,0.8448137728547686,-0.00034693473891274324,0.04833176138621083,3.8824895648273916,2017-05-26 00:00:00+00:00
2017-05-28 00:00:00+00:00,0.008032474833504999,0.17337273321076208,0.8448137728547686,-0.00034693473891274324,0.04833176138621083,3.8824895648273916,2017-05-26 00:00:00+00:00
2017-05-29 00:00:00+00:00,-0.001063362917455457,-0.014823134063289336,0.8448137728547686,-0.00034693473891274324,0.04833176138621083,3.8824895648273916,2017-05-26 00:00:00+00:00
2017-05-30 00:00:00+00:00,-0.01113645723162815,-0.22323876025328726,0.8448137728547686,-0.00034693473891274324,0.04833176138621083,3.8824895648273916,2017-05-26 00:00:00+00:00
2017-05-31 00:00:00+00:00,-0.010441934751328041,-0.20886886227356544,0.8448137728547686,-0.00034693473891274324,0.04833176138621083,3.8824895648273916,2017-05-26 00:00:00+00:00
2017-06-01 00:00:00+00:00,-0.05038842947995725,-1.0353749440491418,0.8448137728547686,-0.00034693473891274324,0.04833176138621083,3.8824895648273916,2017-05-26 00:00:00+00:00
2017-06-02 00:00:00+00:00,-0.045743921947298816,-0.9392785594058226,0.8448137728547686,-0.00034693473891274324,0.04833176138621083,3.8824895648273916,2017-05-26 00:00:00+00:00
2017-06-03 00:00:00+00:00,-0.06875412961153948,-1.415367305279784,0.8448137728547686,-0.00034693473891274324,0.04833176138621083,3.8824895648273916,2017-05-26 00:00:00+00:00
2017-06-04 00:00:00+00:00,-0.09135396152877995,-1.8829652423102405,0.8448137728547686,-0.00034693473891274324,0.04833176138621083,3.8824895648273916,2017-05-26 00:00:00+00:00
2017-06-05 00:00:00+00:00,-0.07311668055751319,-1.5056299156389081,0.8448137728547686,-0.00034693473891274324,0.04833176138621083,3.8824895648273916,2017-05-26 00:00:00+00:00
2017-06-06 00:00:00+00:00,-0.06701691562608492,-1.3794237779671172,0.8448137728547686,-0.00034693473891274324,0.04833176138621083,3.8824895648273916,2017-05-26 00:00:00+00:00
2017-06-07 00:00:00+00:00,-0.026353142181724465,-0.5380769642347725,0.8448137728547686,-0.00034693473891274324,0.04833176138621083,3.8824895648273916,2017-05-26 00:00:00+00:00
2017-06-08 00:00:00+00:00,-0.05421253723452324,-1.1144969881229796,0.8448137728547686,-0.00034693473891274324,0.04833176138621083,3.8824895648273916,2017-05-26 00:00:00+00:00
2017-06-09 00:00:00+00:00,-0.05909629981017961,-1.215543638101884,0.8448137728547686,-0.00034693473891274324,0.04833176138621083,3.8824895648273916,2017-05-26 00:00:00+00:00
2017-06-10 00:00:00+00:00,-0.004310918042067513,-0.0820161150651899,0.8448137728547686,-0.00034693473891274324,0.04833176138621083,3.8824895648273916,2017-05-26 00:00:00+00:00
2017-06-11 00:00:00+00:00,0.00911195021635347,0.1957074330414297,0.8448137728547686,-0.00034693473891274324,0.04833176138621083,3.8824895648273916,2017-05-26 00:00:00+00:00
2017-06-12 00:00:00+00:00,-0.010441934751328041,-0.20886886227356544,0.8448137728547686,-0.00034693473891274324,0.04833176138621083,3.8824895648273916,2017-05-26 00:00:00+00:00
2017-06-13 00:00:00+00:00,-0.06701691562608492,-1.3794237779671172,0.8448137728547686,-0.00034693473891274324,0.04833176138621083,3.8824895648273916,2017-05-26 00:00:00+00:00
