date,pvalue,beta,cointegrated_at_5pct,n_obs
2017-04-26 00:00:00+00:00,2.859025469030881e-11,0.8511978610296396,True,730
2017-05-26 00:00:00+00:00,6.194417247042396e-11,0.8448137728547686,True,730
2017-06-25 00:00:00+00:00,2.878877448180566e-10,0.8379769631745395,True,730
2017-07-27 00:00:00+00:00,4.720602970837247e-10,0.8221562288367074,True,730
2017-08-26 00:00:00+00:00,2.5356781991741072e-09,0.8203997272937132,True,730
2017-09-25 00:00:00+00:00,4.152089042762194e-12,0.8391258394377582,True,730
2017-10-25 00:00:00+00:00,4.233886697129315e-09,0.8588907928341557,True,730
2017-11-24 00:00:00+00:00,1.1281903991070232e-08,0.8750876608069655,True,730
2017-12-24 00:00:00+00:00,2.2872073876268657e-09,0.8803902515652492,True,730
2018-01-23 00:00:00+00:00,1.4745794086632324e-09,0.8877812435747833,True,730
2018-02-22 00:00:00+00:00,1.731719756427202e-09,0.8888999768414356,True,730
2018-03-24 00:00:00+00:00,1.7500414900389572e-08,0.8922500915701808,True,730
2018-04-23 00:00:00+00:00,1.1212234640230169e-08,0.8789671627305372,True,730
2018-05-23 00:00:00+00:00,1.2895744942573542e-11,0.8845723442939227,True,730
2018-06-22 00:00:00+00:00,9.635917542448837e-14,0.883245793736555,True,730
2018-07-22 00:00:00+00:00,1.081148558825515e-12,0.8673774614265111,True,730
2018-08-21 00:00:00+00:00,1.4956547265579797e-09,0.8625940883425117,True,730
2018-09-20 00:00:00+00:00,2.0898302135095293e-08,0.8769055233858798,True,730
2018-10-20 00:00:00+00:00,4.327905277885129e-08,0.8713841411450466,True,730
2018-11-19 00:00:00+00:00,6.210947960742109e-08,0.8695760977301421,True,730
2018-12-19 00:00:00+00:00,3.102176112988639e-08,0.8676961186907044,True,730
2019-01-18 00:00:00+00:00,1.3364257511405827e-07,0.8657769540922882,True,730
2019-02-17 00:00:00+00:00,7.585112678732917e-05,0.8551830497757846,True,730
2019-03-19 00:00:00+00:00,4.117867910138973e-06,0.845764746433458,True,730
2019-04-18 00:00:00+00:00,6.164101549798651e-05,0.8351772304372447,True,730
2019-05-18 00:00:00+00:00,3.433374832389645e-06,0.821134028468177,True,730
2019-06-17 00:00:00+00:00,0.00014074898952992355,0.8176848779600823,True,730
2019-07-17 00:00:00+00:00,0.00016217083887549473,0.8117705447338414,True,730
2019-08-16 00:00:00+00:00,0.00016675209052171623,0.8101356043331469,True,730
2019-09-15 00:00:00+00:00,0.00012496330965139994,0.8112745359531105,True,730
2019-10-15 00:00:00+00:00,0.00011573070151560138,0.8103996671846221,True,730
2019-11-14 00:00:00+00:00,9.427381726443343e-05,0.8103050420598746,True,730
2019-12-14 00:00:00+00:00,0.00034309314802403806,0.8216234844260406,True,730
2020-01-13 00:00:00+00:00,0.0014732905099290718,0.8172175506152362,True,730
2020-02-12 00:00:00+00:00,0.000284640121284969,0.8153193681076928,True,730
2020-03-13 00:00:00+00:00,0.00021069093156300843,0.8157016778205219,True,730
2020-04-12 00:00:00+00:00,0.0005765267181071351,0.8171383814081289,True,730
2020-05-12 00:00:00+00:00,0.0008026530393121152,0.8047214410223265,True,730
2020-06-11 00:00:00+00:00,0.0013815035890512783,0.8038777350116527,True,730
2020-07-11 00:00:00+00:00,0.0009611113651776025,0.8188345639883714,True,730
2020-08-10 00:00:00+00:00,0.00011611028210957679,0.8912356457261962,True,730
2020-09-09 00:00:00+00:00,1.971557807630799e-06,0.9086482977858225,True,730
2020-10-09 00:00:00+00:00,1.0608508787528912e-05,0.9036077917562015,True,730
2020-11-08 00:00:00+00:00,1.0050727456539518e-06,0.9040159447535739,True,730
2020-12-08 00:00:00+00:00,2.359772874239294e-06,0.9027797352544525,True,730
2021-01-07 00:00:00+00:00,2.5788286102701024e-05,0.877416676933891,True,730
2021-02-06 00:00:00+00:00,3.260111128727729e-05,0.8427570613153978,True,730
2021-03-08 00:00:00+00:00,1.8637863334818103e-05,0.807346502529886,True,730
2021-04-07 00:00:00+00:00,9.719609322717914e-06,0.8027169340517205,True,730
2021-05-07 00:00:00+00:00,0.00014335911426110312,0.8009426535128076,True,730
2021-06-06 00:00:00+00:00,0.0005189951926717687,0.8126132405159477,True,730
2021-07-06 00:00:00+00:00,9.658287859026948e-05,0.8646840611886086,True,730
2021-08-05 00:00:00+00:00,6.968291029190174e-05,0.8894245837826991,True,730
2021-09-04 00:00:00+00:00,1.3357768175502122e-05,0.9088518198484321,True,730
2021-10-04 00:00:00+00:00,1.8430214893499511e-06,0.9091210375820385,True,730
2021-11-03 00:00:00+00:00,6.111190817996772e-09,0.9262484050578518,True,730
2021-12-03 00:00:00+00:00,1.538795756290245e-08,0.9355031332340477,True,730
2022-01-02 00:00:00+00:00,8.071280253292771e-10,0.9591150425518572,True,730
2022-02-01 00:00:00+00:00,6.21464312264039e-10,0.9762833005844849,True,730
2022-03-03 00:00:00+00:00,1.6575944437562559e-09,0.9770820175165253,True,730
2022-04-02 00:00:00+00:00,8.210405973899663e-05,0.9585557304633875,True,730
2022-05-02 00:00:00+00:00,2.2658987877457258e-05,0.970271199215197,True,730
2022-06-01 00:00:00+00:00,7.136003691217203e-05,0.9636422455909259,True,730
2022-07-01 00:00:00+00:00,2.315154535289537e-09,0.9599473929697679,True,730
2022-07-31 00:00:00+00:00,7.151060671132845e-10,0.9658252281897782,True,730
2022-08-30 00:00:00+00:00,3.427993775850197e-10,0.9605321284217729,True,730
2022-09-29 00:00:00+00:00,5.197381414313554e-10,0.9599234033160544,True,730
2022-10-29 00:00:00+00:00,9.157848889622016e-11,0.9591103174259735,True,730
2022-11-28 00:00:00+00:00,1.8035726142897297e-11,0.9451376534557066,True,730
2022-12-28 00:00:00+00:00,5.327552953648816e-11,0.9398043630946111,True,730
2023-01-27 00:00:00+00:00,6.31831145777371e-11,0.94830150068024,True,730
2023-02-26 00:00:00+00:00,2.3720606281192838e-11,0.9472658483854532,True,730
2023-03-28 00:00:00+00:00,4.83351327249299e-10,0.9093499108287234,True,730
2023-04-27 00:00:00+00:00,3.738574823197577e-08,0.9450305643430477,True,730
2023-05-27 00:00:00+00:00,0.011216090599697614,0.9863286008863219,True,730
2023-06-26 00:00:00+00:00,1.5073765667527328e-09,1.001116582090386,True,730
2023-07-26 00:00:00+00:00,1.3251292774641633e-07,0.9567784618767208,True,730
2023-08-25 00:00:00+00:00,0.027463633273461664,0.9370738578719112,True,730
2023-09-24 00:00:00+00:00,2.7269766502346175e-07,0.989368185353765,True,730
2023-10-24 00:00:00+00:00,1.6773170612685552e-07,1.008965372909336,True,730
2023-11-23 00:00:00+00:00,3.38880650556808e-07,0.9962677101656991,True,730
2024-01-01 00:00:00+00:00,2.511715361457493e-06,1.0485925467743933,True,730
2024-01-31 00:00:00+00:00,5.569659492776977e-06,1.0330076007177627,True,730
2024-03-01 00:00:00+00:00,0.00010386362828444515,1.0174216654272323,True,730
2024-03-31 00:00:00+00:00,9.521335691657861e-07,1.0183645496798106,True,730
2024-04-30 00:00:00+00:00,1.2533314359855582e-05,1.008267589196974,True,730
2024-06-01 00:00:00+00:00,0.00010747099645672941,0.974761067069708,True,730
2024-07-01 00:00:00+00:00,7.235165607168701e-05,0.9747581988893588,True,730
2024-07-31 00:00:00+00:00,0.014069125778840307,0.9505256697901276,True,730
2024-08-30 00:00:00+00:00,0.03597202416282981,0.9241029603234662,True,730
2024-09-29 00:00:00+00:00,0.09318854255599601,0.881004356315839,False,730
2024-10-29 00:00:00+00:00,0.011898816290073465,0.9036781976474225,True,730
2024-11-28 00:00:00+00:00,0.007435771328165644,0.8565183589163295,True,730
2024-12-28 00:00:00+00:00,0.01111036549088431,0.8931287705800822,True,730
2025-01-27 00:00:00+00:00,0.0057701466784616405,0.9143894589869513,True,730
2025-02-26 00:00:00+00:00,0.013543683935927,0.9332706528718426,True,730
2025-03-28 00:00:00+00:00,0.010418082136693214,0.9370270966478879,True,730
2025-04-27 00:00:00+00:00,0.01006220993697318,0.9538950409534738,True,730
2025-05-27 00:00:00+00:00,0.010196669376109278,0.9419874644624081,True,730
2025-06-26 00:00:00+00:00,0.010775745647123408,0.9590348558302665,True,730
2025-07-26 00:00:00+00:00,0.005102236299069801,0.977879790559861,True,730
2025-08-25 00:00:00+00:00,0.0026414090843072083,1.0047659187948426,True,730
2025-09-24 00:00:00+00:00,0.006151231890962109,1.008905790679916,True,730
2025-10-24 00:00:00+00:00,0.003767127178878301,1.0114685669275474,True,730
