label,n_obs,raw_order,proc_order,eg_pr_pvalue,eg_pr_beta,eg_pr_coint,eg_rp_pvalue,johansen_trace_reject,johansen_beta,half_life_days
hide,4058,I(0),I(0),6.80382085020894e-09,0.9245993019181749,True,2.944706330798777e-08,True,0.9535360506931057,13.062774535114372
iron,4059,I(1),I(0),0.0025971894592906903,0.6163225684225092,True,0.001224260362057199,True,0.7547244023366725,62.67925230773593
rune,4057,I(1),I(1),0.33997505527323446,0.6760533367983761,False,0.31381018061235144,True,0.8890443208395032,35.6784300113971
