label,n_days,start,end,ratio_mean,ratio_cv,ret_corr,adf_pvalue,half_life_days,note,rank_score
hide,4015,2015-03-28,2026-06-20,1.3426732356656,0.08986487235739057,0.2235435926850324,1.958054660243772e-21,13.084529244885372,"tanning fee is ~fixed gp, not free",2.0
silver,4018,2015-03-28,2026-06-20,1.7393180487346835,0.2781247496493484,0.12972866301967267,8.652887915157706e-11,53.09424722858827,"1:1, no secondary input",6.0
steel,4014,2015-03-28,2026-06-20,2.8370238702148716,0.21456684958890848,-0.346763041923842,0.004171215301767788,51.10704532103592,needs iron+coal; screened vs coal only,7.0
iron,4019,2015-03-28,2026-06-20,1.9901193238511443,0.29650270070011936,0.07976639251652154,0.0003825635425272225,66.95649839070566,"1:1, no secondary input",8.0
rune,4021,2015-03-28,2026-06-20,1.1253688721818758,0.02743519254704432,0.12393222627985863,0.16378730952502996,32.352506291474825,needs ore+8 coal; ore-only screen,8.0
mithril,4015,2015-03-28,2026-06-20,5.232929111663558,0.2803337113855402,-0.08679212327097244,0.008992855638468845,151.22787699413112,needs ore+4 coal; ore-only screen,12.0
adamant,4039,2015-03-28,2026-06-20,1.9328603249678318,0.19792844395225032,-0.1353186371364686,0.520837116286711,115.86195817907934,needs ore+6 coal; ore-only screen,14.0
gold,4030,2015-03-28,2026-06-20,0.460938279400873,0.4769156718578041,0.0247739844308476,0.34022826769914094,646.5451433162326,"1:1, no secondary input",15.0
